,generic_name,lexi_generic_id,split_by_space,,,,,,,catgs
958,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
959,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
960,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
961,TRIAMCINOLONE ACETONIDE,None,TRIAMCINOLONE,ACETONIDE,,,,,,
980,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
982,FURAZOLIDONE,None,FURAZOLIDONE,,,,,,,
985,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
987,FLUPHENAZINE DECANOATE,None,FLUPHENAZINE,DECANOATE,,,,,,
991,DILTIAZEM HYDROCHLORIDE,None,DILTIAZEM,HYDROCHLORIDE,,,,,,
992,ASA,None,ASA,,,,,,,
994,ENALAPRIL MALEATE,None,ENALAPRIL,MALEATE,,,,,,
997,OXYMETAZOLINE HYDROCHLORIDE,None,OXYMETAZOLINE,HYDROCHLORIDE,,,,,,
999,YOHIMBINE HYDROCHLORIDE,None,YOHIMBINE,HYDROCHLORIDE,,,,,,
1001,CARBIDOPA FORTE,None,CARBIDOPA,FORTE,,,,,,
1005,MEMANTINE HYDROCHLORIDE,None,MEMANTINE,HYDROCHLORIDE,,,,,,
1007,BUSPIRONE HYDROCHLORIDE,None,BUSPIRONE,HYDROCHLORIDE,,,,,,
1008,TRIAMCINOLONE ACETONIDE,None,TRIAMCINOLONE,ACETONIDE,,,,,,
1014,NAPHAZOLINE HYDROCHLORIDE,None,NAPHAZOLINE,HYDROCHLORIDE,,,,,,
1021,SERTACONAZOLE NITRATE,None,SERTACONAZOLE,NITRATE,,,,,,
1025,RABEPRAZOLE SODIUM,None,RABEPRAZOLE,SODIUM,,,,,,
1026,SOTALOL HYDROCHLORIDE,None,SOTALOL,HYDROCHLORIDE,,,,,,
1028,L-CARNITINE,None,L-CARNITINE,,,,,,,
1029,AMITRIPTYLINE HYDROCHLORIDE,None,AMITRIPTYLINE,HYDROCHLORIDE,,,,,,
1035,ACICLOVIR,None,ACICLOVIR,,,,,,,
1040,LOTEPREDNOL ETABONATE,None,LOTEPREDNOL,ETABONATE,,,,,,
1041,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
1045,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
1047,TICLOPIDINE HYDROCHLORIDE,None,TICLOPIDINE,HYDROCHLORIDE,,,,,,
1049,OLOPATADINE HYDROCHLORIDE,None,OLOPATADINE,HYDROCHLORIDE,,,,,,
1065,AMPHOTERICIN B LIPOSOME,None,AMPHOTERICIN,B,LIPOSOME,,,,,
1070,ANTI-D IMMUNOGLOBULIN,None,ANTI-D,IMMUNOGLOBULIN,,,,,,
1072,COAGULATION FACTOR VIII,None,COAGULATION,FACTOR,VIII,,,,,
1073,TAMSULOSIN HYDROCHLORIDE,None,TAMSULOSIN,HYDROCHLORIDE,,,,,,
1079,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1087,MULTIVITAMIN PEDIATRIC,None,MULTIVITAMIN,PEDIATRIC,,,,,,
1091,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
1094,PNEUMOCOCCAL VACCINE 13-VALENTS,None,PNEUMOCOCCAL,VACCINE,13-VALENTS,,,,,
1096,DALTEPARIN SODIUM,None,DALTEPARIN,SODIUM,,,,,,
1101,BUPIVACAINE HYDROCHLORIDE,None,BUPIVACAINE,HYDROCHLORIDE,,,,,,
1103,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1104,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
1107,ANTITHYMOCYTE IMMUNOGLOBULIN,None,ANTITHYMOCYTE,IMMUNOGLOBULIN,,,,,,
1112,SEVELAMER CARBONATE,None,SEVELAMER,CARBONATE,,,,,,
1113,ANAGRELIDE HYDROCHLORIDE,None,ANAGRELIDE,HYDROCHLORIDE,,,,,,
1116,AMINO ACID 10%,None,AMINO,ACID,10%,,,,,
1122,LIPID INFUSION 10%,None,LIPID,INFUSION,10%,,,,,
1123,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1124,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
1130,MESALAZINE,None,MESALAZINE,,,,,,,
1134,LOTEPREDNOL ETABONATE,None,LOTEPREDNOL,ETABONATE,,,,,,
1139,BICARBONATE CONCENTRATE,None,BICARBONATE,CONCENTRATE,,,,,,
1141,AMINO ACID 10%,None,AMINO,ACID,10%,,,,,
1142,TRACE METAL COMBINATION,None,TRACE,METAL,COMBINATION,,,,,
1143,ANTI-D IMMUNOGLOBULIN,None,ANTI-D,IMMUNOGLOBULIN,,,,,,
1145,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
1148,AMINO ACID 10% PAEDIATRIC,None,AMINO,ACID,10%,PAEDIATRIC,,,,
1149,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
1150,SALBUTAMOL,None,SALBUTAMOL,,,,,,,
1151,TESTOSTERONE UNDECANOATE,None,TESTOSTERONE,UNDECANOATE,,,,,,
1159,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1160,VINCRISTINE SULFATE,None,VINCRISTINE,SULFATE,,,,,,
1162,PNEUMOCOCCAL VACCINE 23-VALANT,None,PNEUMOCOCCAL,VACCINE,23-VALANT,,,,,
1163,ETHERIFIED STARCH,None,ETHERIFIED,STARCH,,,,,,
1164,PROSTAGLANDIN E1,None,PROSTAGLANDIN,E1,,,,,,
1170,CHARCOAL ACTIVATED,None,CHARCOAL,ACTIVATED,,,,,,
1177,CHORIONIC GONADOTROPHIN,None,CHORIONIC,GONADOTROPHIN,,,,,,
1178,MEMANTINE HYDROCHLORIDE,None,MEMANTINE,HYDROCHLORIDE,,,,,,
1184,EPHEDRINE HYDROCHLORIDE,None,EPHEDRINE,HYDROCHLORIDE,,,,,,
1186,BENDAMUSTINE HYDROCHLORIDE,None,BENDAMUSTINE,HYDROCHLORIDE,,,,,,
1187,MESALAZINE,None,MESALAZINE,,,,,,,
1188,PHOSPHATE,None,PHOSPHATE,,,,,,,
1191,FLUORESCEIN SODIUM,None,FLUORESCEIN,SODIUM,,,,,,
1193,MESALAZINE,None,MESALAZINE,,,,,,,
1197,HYDROXYZINE HYDROCHLORIDE,None,HYDROXYZINE,HYDROCHLORIDE,,,,,,
1201,MEMANTINE HYDROCHLORIDE,None,MEMANTINE,HYDROCHLORIDE,,,,,,
1203,"INFLUENZA VACCINE, INACTIVATED, TETRAVALENT",None,INFLUENZA,"VACCINE,","INACTIVATED,",TETRAVALENT,,,,
1205,AMINO ACID 5%,None,AMINO,ACID,5%,,,,,
1207,DEFEROXAMINE MESYLATE,None,DEFEROXAMINE,MESYLATE,,,,,,
1208,VITAMIN B2,None,VITAMIN,B2,,,,,,
1211,CALCIPOTRIOL,None,CALCIPOTRIOL,,,,,,,
1212,BETAMETHASONE DIPROPIONATE,None,BETAMETHASONE,DIPROPIONATE,,,,,,
1214,VITAMIN B12,None,VITAMIN,B12,,,,,,
1215,POTASSIUM CHLORIDE CONCENTRATED,None,POTASSIUM,CHLORIDE,CONCENTRATED,,,,,
1224,DOXAPRAM HYDROCHLORIDE,None,DOXAPRAM,HYDROCHLORIDE,,,,,,
1225,NALTREXONE HYDROCHLORIDE,None,NALTREXONE,HYDROCHLORIDE,,,,,,
1229,METOPROLOL SUCCINATE,None,METOPROLOL,SUCCINATE,,,,,,
1232,TOLTERODINE TARTRATE,None,TOLTERODINE,TARTRATE,,,,,,
1235,PANCREATIN,None,PANCREATIN,,,,,,,
1236,NALTREXONE HYDROCHLORIDE,None,NALTREXONE,HYDROCHLORIDE,,,,,,
1238,ROCURONIUM BROMIDE,None,ROCURONIUM,BROMIDE,,,,,,
1242,VITAMIN K1,None,VITAMIN,K1,,,,,,
1244,SPECTINOMYCIN,None,SPECTINOMYCIN,,,,,,,
1245,HYDROXYZINE HYDROCHLORIDE,None,HYDROXYZINE,HYDROCHLORIDE,,,,,,
1246,TEMOCILLIN SODIUM,None,TEMOCILLIN,SODIUM,,,,,,
1248,CLONIDINE HYDROCHLORIDE,None,CLONIDINE,HYDROCHLORIDE,,,,,,
1249,ASA,None,ASA,,,,,,,
1250,BISMUTH SUBCITRATE EQU. TO BISMUTH OXIDE,None,BISMUTH,SUBCITRATE,EQU.,TO,BISMUTH,OXIDE,,
1257,MESALAZINE,None,MESALAZINE,,,,,,,
1260,POTASSIUM CHLORIDE CONCENTRATED,None,POTASSIUM,CHLORIDE,CONCENTRATED,,,,,
1268,LIPID INFUSION 20%,None,LIPID,INFUSION,20%,,,,,
1269,TRACE METAL COMBINATION,None,TRACE,METAL,COMBINATION,,,,,
1270,CONJUGATED ESTROGENS,None,CONJUGATED,ESTROGENS,,,,,,
1277,VALPROATE SEMISODIUM,None,VALPROATE,SEMISODIUM,,,,,,
1278,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1279,FUSIDATE SODIUM,None,FUSIDATE,SODIUM,,,,,,
1280,VALPROATE SEMISODIUM,None,VALPROATE,SEMISODIUM,,,,,,
1284,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1285,OLOPATADINE HYDROCHLORIDE,None,OLOPATADINE,HYDROCHLORIDE,,,,,,
1286,BETHANECHOL CHLORIDE,None,BETHANECHOL,CHLORIDE,,,,,,
1287,TOLTERODINE TARTRATE,None,TOLTERODINE,TARTRATE,,,,,,
1289,ASA,None,ASA,,,,,,,
1296,METHYLERGONOVINE MALEATE,None,METHYLERGONOVINE,MALEATE,,,,,,
1297,VINBLASTINE SULFATE,None,VINBLASTINE,SULFATE,,,,,,
1300,DOXORUBICIN HYDROCHLORIDE,None,DOXORUBICIN,HYDROCHLORIDE,,,,,,
1301,POTASSIUM AMINOBENZOIC ACID,None,POTASSIUM,AMINOBENZOIC,ACID,,,,,
1303,AMIODARONE HYDROCHLORIDE,None,AMIODARONE,HYDROCHLORIDE,,,,,,
1304,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
1307,CROMOLYN SODIUM,None,CROMOLYN,SODIUM,,,,,,
1310,AMINO ACID 5% WITH ELECTROLYTE,None,AMINO,ACID,5%,WITH,ELECTROLYTE,,,
1312,ACICLOVIR,None,ACICLOVIR,,,,,,,
1314,VITAMIN K1,None,VITAMIN,K1,,,,,,
1319,ACICLOVIR,None,ACICLOVIR,,,,,,,
1320,SELEGILINE HYDROCHLORIDE,None,SELEGILINE,HYDROCHLORIDE,,,,,,
1321,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
1323,NANDROLONE DECANOATE,None,NANDROLONE,DECANOATE,,,,,,
1324,NAPHAZOLINE HYDROCHLORIDE,None,NAPHAZOLINE,HYDROCHLORIDE,,,,,,
1327,MEDROXYPROGESTERONE ACETATE,None,MEDROXYPROGESTERONE,ACETATE,,,,,,
1333,ESTRAMUSTINE SODIUM PHOSPHATE,None,ESTRAMUSTINE,SODIUM,PHOSPHATE,,,,,
1336,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1338,ACICLOVIR,None,ACICLOVIR,,,,,,,
1339,DEFEROXAMINE MESYLATE,None,DEFEROXAMINE,MESYLATE,,,,,,
1340,BROMHEXINE HYDROCHLORIDE,None,BROMHEXINE,HYDROCHLORIDE,,,,,,
1344,IRINOTECAN HYDROCHLORIDE,None,IRINOTECAN,HYDROCHLORIDE,,,,,,
1351,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
1353,CEFALEXIN,None,CEFALEXIN,,,,,,,
1354,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
1356,IRINOTECAN HYDROCHLORIDE,None,IRINOTECAN,HYDROCHLORIDE,,,,,,
1359,CETIRIZINE HYDROCHLORIDE,None,CETIRIZINE,HYDROCHLORIDE,,,,,,
1366,HEPARIN SODIUM,None,HEPARIN,SODIUM,,,,,,
1367,PROCAINAMIDE HYDROCHLORIDE,None,PROCAINAMIDE,HYDROCHLORIDE,,,,,,
1371,CALCIUM PANTOTHENATE,None,CALCIUM,PANTOTHENATE,,,,,,
1375,COLISTIMETHATE SODIUM,None,COLISTIMETHATE,SODIUM,,,,,,
1377,TETRACOSACTIDE ACETATE,None,TETRACOSACTIDE,ACETATE,,,,,,
1378,SILDENAFIL CITRATE,None,SILDENAFIL,CITRATE,,,,,,
1379,VITAMIN B12,None,VITAMIN,B12,,,,,,
1380,MIDODRINE HYDROCHLORIDE,None,MIDODRINE,HYDROCHLORIDE,,,,,,
1382,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1383,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
1384,KETOROLAC TROMETAMOL,None,KETOROLAC,TROMETAMOL,,,,,,
1385,LIOTHYRONINE SODIUM,None,LIOTHYRONINE,SODIUM,,,,,,
1403,TRACE METAL COMBINATION,None,TRACE,METAL,COMBINATION,,,,,
1406,IGM-ENRICHED HUMAN,None,IGM-ENRICHED,HUMAN,,,,,,
1408,TETRACOSACTIDE,None,TETRACOSACTIDE,,,,,,,
1409,OXYBUTYNIN HYDROCHLORIDE,None,OXYBUTYNIN,HYDROCHLORIDE,,,,,,
1411,POLYETHYLENE GLYCOL - ELECTROLYTE 2,None,POLYETHYLENE,GLYCOL,-,ELECTROLYTE,2,,,
1412,CHLORPROMAZINE HYDROCHLORIDE,None,CHLORPROMAZINE,HYDROCHLORIDE,,,,,,
1414,BARIUM SULFATE,None,BARIUM,SULFATE,,,,,,
1415,PATENT BLUE V,None,PATENT,BLUE,V,,,,,
1417,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
1418,CHARCOAL ACTIVATED,None,CHARCOAL,ACTIVATED,,,,,,
1420,TERBINAFINE HYDROCHLORIDE,None,TERBINAFINE,HYDROCHLORIDE,,,,,,
1426,DANTROLENE SODIUM,None,DANTROLENE,SODIUM,,,,,,
1430,BENDAMUSTINE HYDROCHLORIDE,None,BENDAMUSTINE,HYDROCHLORIDE,,,,,,
1431,IGM-ENRICHED HUMAN,None,IGM-ENRICHED,HUMAN,,,,,,
1432,COLISTIMETHATE SODIUM,None,COLISTIMETHATE,SODIUM,,,,,,
1434,FURAZOLIDONE,None,FURAZOLIDONE,,,,,,,
1435,DIPHENHYDRAMINE HYDROCHLORIDE,None,DIPHENHYDRAMINE,HYDROCHLORIDE,,,,,,
1442,MENTHOL SALICYLATE,None,MENTHOL,SALICYLATE,,,,,,
1445,MESALAZINE,None,MESALAZINE,,,,,,,
1447,COLISTIMETHATE SODIUM,None,COLISTIMETHATE,SODIUM,,,,,,
1454,FLUORIDE SODIUM,None,FLUORIDE,SODIUM,,,,,,
1460,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1466,LIDOCAINE HYDROCHLORIDE,None,LIDOCAINE,HYDROCHLORIDE,,,,,,
1472,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
1478,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1481,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1483,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
1490,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
1491,FUSIDATE SODIUM,None,FUSIDATE,SODIUM,,,,,,
1494,VINBLASTINE SULFATE,None,VINBLASTINE,SULFATE,,,,,,
1495,MICONAZOLE NITRATE,None,MICONAZOLE,NITRATE,,,,,,
1496,HEMODIALYSIS II ACIDIC,None,HEMODIALYSIS,II,ACIDIC,,,,,
1502,CASPOFUNGIN ACETATE,None,CASPOFUNGIN,ACETATE,,,,,,
1503,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1505,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1506,"INFLUENZA VACCINE, INACTIVATED, TRIVALENT",None,INFLUENZA,"VACCINE,","INACTIVATED,",TRIVALENT,,,,
1512,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1514,FAMPRIDINE,None,FAMPRIDINE,,,,,,,
1516,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
1525,COAGULATION FACTOR VIII,None,COAGULATION,FACTOR,VIII,,,,,
1532,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
1534,PYRIDOSTIGMINE BROMIDE,None,PYRIDOSTIGMINE,BROMIDE,,,,,,
1536,TRAMADOL HYDROCHLORIDE,None,TRAMADOL,HYDROCHLORIDE,,,,,,
1544,CASPOFUNGIN ACETATE,None,CASPOFUNGIN,ACETATE,,,,,,
1550,TETRACYCLINE HYDROCHLORIDE,None,TETRACYCLINE,HYDROCHLORIDE,,,,,,
1551,BURN OINTMENT,None,BURN,OINTMENT,,,,,,
1553,GLYCINE,None,GLYCINE,,,,,,,
1556,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1565,TESTOSTERONE ENANTHATE,None,TESTOSTERONE,ENANTHATE,,,,,,
1574,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1576,NAPHAZOLINE HYDROCHLORIDE,None,NAPHAZOLINE,HYDROCHLORIDE,,,,,,
1577,LIDOCAINE HYDROCHLORIDE,None,LIDOCAINE,HYDROCHLORIDE,,,,,,
1578,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1579,PROTAMINE SULFATE,None,PROTAMINE,SULFATE,,,,,,
1580,TETRACAINE HYDROCHLORIDE,None,TETRACAINE,HYDROCHLORIDE,,,,,,
1581,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1584,MORPHINE SULFATE,None,MORPHINE,SULFATE,,,,,,
1585,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1586,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1590,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1591,INSULIN ISOPHANE,None,INSULIN,ISOPHANE,,,,,,
1595,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1597,HYDROCORTISONE ACETATE,None,HYDROCORTISONE,ACETATE,,,,,,
1598,BUSERELIN ACETATE,None,BUSERELIN,ACETATE,,,,,,
1600,METHYLPHENIDATE HYDROCHLORIDE,None,METHYLPHENIDATE,HYDROCHLORIDE,,,,,,
1603,OPHTHALMIC BATH-1,None,OPHTHALMIC,BATH-1,,,,,,
1605,PETHIDINE HYDROCHLORIDE,None,PETHIDINE,HYDROCHLORIDE,,,,,,
1607,RINGER LACTATE,None,RINGER,LACTATE,,,,,,
1618,PETHIDINE HYDROCHLORIDE,None,PETHIDINE,HYDROCHLORIDE,,,,,,
1619,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1622,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1623,TRAZODONE HYDROCHLORIDE,None,TRAZODONE,HYDROCHLORIDE,,,,,,
1624,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
1629,METHADONE HYDROCHLORIDE,None,METHADONE,HYDROCHLORIDE,,,,,,
1633,CYPROTERONE ACETATE,None,CYPROTERONE,ACETATE,,,,,,
1636,MAFENIDE ACETATE,None,MAFENIDE,ACETATE,,,,,,
1637,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
1641,METHYLPHENIDATE HYDROCHLORIDE,None,METHYLPHENIDATE,HYDROCHLORIDE,,,,,,
1644,ESTRADIOL VALERATE,None,ESTRADIOL,VALERATE,,,,,,
1652,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
1656,IDARUBICIN HYDROCHLORIDE,None,IDARUBICIN,HYDROCHLORIDE,,,,,,
1658,CHLORPROMAZINE HYDROCHLORIDE,None,CHLORPROMAZINE,HYDROCHLORIDE,,,,,,
1660,"CALCITONIN, SALMON",None,"CALCITONIN,",SALMON,,,,,,
1661,METOPROLOL TARTRATE,None,METOPROLOL,TARTRATE,,,,,,
1662,ROPIVACAINE HYDROCHLORIDE,None,ROPIVACAINE,HYDROCHLORIDE,,,,,,
1665,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1667,INSULIN ISOPHANE,None,INSULIN,ISOPHANE,,,,,,
1669,ESTRADIOL VALERATE,None,ESTRADIOL,VALERATE,,,,,,
1670,METHYLPHENIDATE HYDROCHLORIDE,None,METHYLPHENIDATE,HYDROCHLORIDE,,,,,,
1672,NEOMYCIN SULFATE,None,NEOMYCIN,SULFATE,,,,,,
1674,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
1678,SIMPLE EYE,None,SIMPLE,EYE,,,,,,
1679,PHOSPHATE SODIUM,None,PHOSPHATE,SODIUM,,,,,,
1680,PETHIDINE HYDROCHLORIDE,None,PETHIDINE,HYDROCHLORIDE,,,,,,
1681,TRAMADOL HYDROCHLORIDE,None,TRAMADOL,HYDROCHLORIDE,,,,,,
1683,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1684,MICONAZOLE NITRATE,None,MICONAZOLE,NITRATE,,,,,,
1686,CONTRACEPTIVE TRIPHASIC,None,CONTRACEPTIVE,TRIPHASIC,,,,,,
1690,CLOBETASOL PROPIONATE,None,CLOBETASOL,PROPIONATE,,,,,,
1691,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
1692,BECLOMETHASONE DIPROPIONATE,None,BECLOMETHASONE,DIPROPIONATE,,,,,,
1693,OLOPATADINE HYDROCHLORIDE,None,OLOPATADINE,HYDROCHLORIDE,,,,,,
1695,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1696,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1697,ACICLOVIR,None,ACICLOVIR,,,,,,,
1699,TERBINAFINE HYDROCHLORIDE,None,TERBINAFINE,HYDROCHLORIDE,,,,,,
1705,CALCIUM FOLINATE,None,CALCIUM,FOLINATE,,,,,,
1706,FLUDROCORTISONE ACETATE,None,FLUDROCORTISONE,ACETATE,,,,,,
1710,ASA,None,ASA,,,,,,,
1714,TRAMADOL HYDROCHLORIDE,None,TRAMADOL,HYDROCHLORIDE,,,,,,
1716,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1719,DEXTROMETHORPHAN HYDROBROMIDE,None,DEXTROMETHORPHAN,HYDROBROMIDE,,,,,,
1720,ATROPINE SULFATE,None,ATROPINE,SULFATE,,,,,,
1723,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
1724,IDARUBICIN HYDROCHLORIDE,None,IDARUBICIN,HYDROCHLORIDE,,,,,,
1726,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
1727,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1728,VITAMIN K1,None,VITAMIN,K1,,,,,,
1729,ATROPINE SULFATE,None,ATROPINE,SULFATE,,,,,,
1731,ETHINYLESTRADIOL,None,ETHINYLESTRADIOL,,,,,,,
1733,CLINDAMYCIN PHOSPHATE,None,CLINDAMYCIN,PHOSPHATE,,,,,,
1735,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
1737,CALCIPOTRIOL,None,CALCIPOTRIOL,,,,,,,
1738,BETAMETHASONE DIPROPIONATE,None,BETAMETHASONE,DIPROPIONATE,,,,,,
1739,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
1743,ENOXAPARIN SODIUM,None,ENOXAPARIN,SODIUM,,,,,,
1745,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
1747,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
1749,"CALCITONIN, SALMON",None,"CALCITONIN,",SALMON,,,,,,
1750,PILOCARPINE HYDROCHLORIDE,None,PILOCARPINE,HYDROCHLORIDE,,,,,,
1758,TOLTERODINE TARTRATE,None,TOLTERODINE,TARTRATE,,,,,,
1761,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
1762,TESTOSTERONE ENANTHATE,None,TESTOSTERONE,ENANTHATE,,,,,,
1763,ESTRADIOL VALERATE,None,ESTRADIOL,VALERATE,,,,,,
1765,DESIPRAMINE HYDROCHLORIDE,None,DESIPRAMINE,HYDROCHLORIDE,,,,,,
1766,PHENYTOIN SODIUM,None,PHENYTOIN,SODIUM,,,,,,
1768,HYDRALAZINE HYDROCHLORIDE,None,HYDRALAZINE,HYDROCHLORIDE,,,,,,
1777,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1779,OXYCODONE HYDROCHLORIDE,None,OXYCODONE,HYDROCHLORIDE,,,,,,
1780,INSULIN BIPHASIC ISOPHANE,None,INSULIN,BIPHASIC,ISOPHANE,,,,,
1782,ACTIVATED PROTHROMBIN COMPLEX,None,ACTIVATED,PROTHROMBIN,COMPLEX,,,,,
1784,PILOCARPINE HYDROCHLORIDE,None,PILOCARPINE,HYDROCHLORIDE,,,,,,
1788,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1794,TRIPLE SULFA,None,TRIPLE,SULFA,,,,,,
1795,MORPHINE SULFATE,None,MORPHINE,SULFATE,,,,,,
1798,L-CARNITINE,None,L-CARNITINE,,,,,,,
1799,ESMOLOL HYDROCHLORIDE,None,ESMOLOL,HYDROCHLORIDE,,,,,,
1800,NICOTINIC ACID,None,NICOTINIC,ACID,,,,,,
1801,NICOTINIC ACID,None,NICOTINIC,ACID,,,,,,
1802,AZITHROMYCIN DIHYDRATE,None,AZITHROMYCIN,DIHYDRATE,,,,,,
1804,GLYCINE,None,GLYCINE,,,,,,,
1807,BENZYDAMINE HYDROCHLORIDE,None,BENZYDAMINE,HYDROCHLORIDE,,,,,,
1812,CONJUGATED ESTROGENS,None,CONJUGATED,ESTROGENS,,,,,,
1814,DICLOFENAC POTASSIUM,None,DICLOFENAC,POTASSIUM,,,,,,
1827,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1832,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1833,RINGERS,None,RINGERS,,,,,,,
1840,INSULIN ISOPHANE,None,INSULIN,ISOPHANE,,,,,,
1842,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
1843,ENOXAPARIN SODIUM,None,ENOXAPARIN,SODIUM,,,,,,
1846,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
1852,CICLOSPORIN,None,CICLOSPORIN,,,,,,,
1853,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
1855,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
1857,BOTULINUM A TOXIN,None,BOTULINUM,A,TOXIN,,,,,
