,IR_generic_id,IR_generic_name,Ingredient,lexi_generic_id,lexi_generic_name,rows_in_db,catgs
2093,2014,CHLORPHENIRAMINE MALEATE SYRUP ORAL 2 mg/5 mL 60 mL,CHLORPHENIRAMINE MALEATE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
391,275,CHLORPHENIRAMINE MALEATE INJECTION PARENTERAL 10 mg/1mL,CHLORPHENIRAMINE MALEATE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
690,52636,ACETAMINOPHEN / CAFFEINE / CHLORPHENIRAMINE / VITAMIN C CAPSULE ORAL 200 mg/25 mg/2.5 mg/150 mg,CHLORPHENIRAMINE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
892,276,CHLORPHENIRAMINE MALEATE TABLET ORAL 4 mg,CHLORPHENIRAMINE MALEATE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
972,50378,ACETAMINOPHEN / CHLORPHENIRAMINE / DEXTROMETHORPHAN / PHENYLEPHRINE SYRUP ORAL 160 mg/1 mg/5 mg/2.5 mg/5mL 200 mL,CHLORPHENIRAMINE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
1717,52668,CHLORPHENIRAMINE / DEXTROMETHORPHAN / PHENYLEPHRINE SYRUP ORAL 2 mg/15 mg/5 mg/5mL 120 mL,CHLORPHENIRAMINE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
574,51894,GUAIFENESIN / CHLORPHENIRAMINE / PHENYLEPHRINE SYRUP ORAL 100 mg/2 mg/5 mg/5mL 60 mL,CHLORPHENIRAMINE,795,Chlorpheniramine,Chlorpheniramine,795|3615|3630|3702|3789|3790|3819|3820
1933,271,CHLOROQUINE (AS PHOSPHATE) TABLET ORAL 150 mg,CHLOROQUINE (AS PHOSPHATE),789,Chloroquine,Chloroquine,789|3580|3594|3632|3771|3772|3789|3791|3819|3820|3870|3918|3920|3997|4008
583,268,CHLORDIAZEPOXIDE TABLET ORAL 5 mg,CHLORDIAZEPOXIDE,775,ChlordiazePOXIDE,ChlordiazePOXIDE,775|3607|3655|3702|3816|3818|3819
561,308,CLIDINIUM / CHLORDIAZEPOXIDE TABLET ORAL 2.5 mg/5 mg,CHLORDIAZEPOXIDE,775,ChlordiazePOXIDE,ChlordiazePOXIDE,775|3607|3655|3702|3816|3818|3819
630,267,CHLORDIAZEPOXIDE TABLET ORAL 10 mg,CHLORDIAZEPOXIDE,775,ChlordiazePOXIDE,ChlordiazePOXIDE,775|3607|3655|3702|3816|3818|3819
1205,52445,"CHLORAMPHENICOL SOLUTION, DROPS OPHTHALMIC 0.5 % 5 mL",CHLORAMPHENICOL,770,Chloramphenicol (Ophthalmic),"Chloramphenicol (Ophthalmic) | Chloramphenicol (Otic) | Chloramphenicol (Systemic) | Chloramphenicol and Prednisolone | Chloramphenicol, Polymyxin B, and Hydrocortisone",770|3612|3929
1579,264,"CHLORAMPHENICOL SOLUTION, DROPS OPHTHALMIC 0.5 % 10 mL",CHLORAMPHENICOL,770,Chloramphenicol (Ophthalmic),"Chloramphenicol (Ophthalmic) | Chloramphenicol (Otic) | Chloramphenicol (Systemic) | Chloramphenicol and Prednisolone | Chloramphenicol, Polymyxin B, and Hydrocortisone",770|3612|3929
1119,262,CHLORAMBUCIL TABLET ORAL 2 mg,CHLORAMBUCIL,769,Chlorambucil,Chlorambucil,3633|3875|3929
1428,1427,"CHARCOAL ACTIVATED POWDER, FOR SUSPENSION ORAL 50 g",CHARCOAL ACTIVATED,762,"Charcoal, Activated","Charcoal, Activated",762
1180,1425,CHARCOAL ACTIVATED TABLET ORAL 250 mg,CHARCOAL ACTIVATED,762,"Charcoal, Activated","Charcoal, Activated",762
2201,51252,CHARCOAL ACTIVATED SUSPENSION ORAL 0.2 g/1mL,CHARCOAL ACTIVATED,762,"Charcoal, Activated","Charcoal, Activated",762
1555,15691,CETUXIMAB INJECTION PARENTERAL 5 mg/1mL 20 mL,CETUXIMAB,757,Cetuximab,Cetuximab,
94,5291,"CETRORELIX INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 ug",CETRORELIX,756,Cetrorelix,Cetrorelix,3597|3626
405,2232,CETIRIZINE HYDROCHLORIDE SYRUP ORAL 1 mg/1mL 60 mL,CETIRIZINE HYDROCHLORIDE,753,Cetirizine (Systemic),Cetirizine (Ophthalmic) | Cetirizine (Systemic) | Cetirizine and Pseudoephedrine,753|3615|3630|3702|3819|3820|3976|3977
2089,51924,CETIRIZINE HYDROCHLORIDE SYRUP ORAL 1 mg/1mL 120 mL,CETIRIZINE HYDROCHLORIDE,753,Cetirizine (Systemic),Cetirizine (Ophthalmic) | Cetirizine (Systemic) | Cetirizine and Pseudoephedrine,753|3615|3630|3702|3819|3820|3976|3977
1369,13923,"CETIRIZINE HYDROCHLORIDE CAPSULE, GELATIN COATED ORAL 10 mg",CETIRIZINE HYDROCHLORIDE,753,Cetirizine (Systemic),Cetirizine (Ophthalmic) | Cetirizine (Systemic) | Cetirizine and Pseudoephedrine,753|3615|3630|3702|3819|3820|3976|3977
885,2231,CETIRIZINE HYDROCHLORIDE TABLET ORAL 5 mg,CETIRIZINE HYDROCHLORIDE,753,Cetirizine (Systemic),Cetirizine (Ophthalmic) | Cetirizine (Systemic) | Cetirizine and Pseudoephedrine,753|3615|3630|3702|3819|3820|3976|3977
37,1424,CETIRIZINE HYDROCHLORIDE TABLET ORAL 10 mg,CETIRIZINE HYDROCHLORIDE,753,Cetirizine (Systemic),Cetirizine (Ophthalmic) | Cetirizine (Systemic) | Cetirizine and Pseudoephedrine,753|3615|3630|3702|3819|3820|3976|3977
1363,243,CEFALEXIN CAPSULE ORAL 250 mg,CEFALEXIN,745,Cephalexin,Cefalexin (INT),745|3610|3693|3694|3918
401,245,CEFALEXIN CAPSULE ORAL 500 mg,CEFALEXIN,745,Cephalexin,Cefalexin (INT),745|3610|3693|3694|3918
429,246,"CEFALEXIN POWDER, FOR SUSPENSION ORAL 250 mg/5 mL 100 mL",CEFALEXIN,745,Cephalexin,Cefalexin (INT),745|3610|3693|3694|3918
504,242,"CEFALEXIN POWDER, FOR SUSPENSION ORAL 125 mg/5mL 100 mL",CEFALEXIN,745,Cephalexin,Cefalexin (INT),745|3610|3693|3694|3918
569,1932,CELECOXIB CAPSULE ORAL 200 mg,CELECOXIB,735,Celecoxib,Celecoxib,735|3778|3779|3780|3788|3819|3820|3837|3920|3934|3935|3980|4040
594,1913,CELECOXIB CAPSULE ORAL 100 mg,CELECOXIB,735,Celecoxib,Celecoxib,735|3778|3779|3780|3788|3819|3820|3837|3920|3934|3935|3980|4040
2356,2423,"CEFUROXIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 750 mg",CEFUROXIME,734,Cefuroxime,Cefuroxime,734|3610|3693|3695
1879,2031,CEFUROXIME TABLET ORAL 250 mg,CEFUROXIME,734,Cefuroxime,Cefuroxime,734|3610|3693|3695
1853,2032,CEFUROXIME TABLET ORAL 500 mg,CEFUROXIME,734,Cefuroxime,Cefuroxime,734|3610|3693|3695
1742,238,"CEFTRIAXONE (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 mg",CEFTRIAXONE (AS SODIUM),733,CefTRIAXone,CefTRIAXone,733|3610|3693|3696
838,237,"CEFTRIAXONE (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFTRIAXONE (AS SODIUM),733,CefTRIAXone,CefTRIAXone,733|3610|3693|3696
1184,239,"CEFTRIAXONE (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFTRIAXONE (AS SODIUM),733,CefTRIAXone,CefTRIAXone,733|3610|3693|3696
1433,234,"CEFTIZOXIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFTIZOXIME,729,Ceftizoxime,Ceftizoxime,729|3610|3693|3696
1200,233,"CEFTIZOXIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFTIZOXIME,729,Ceftizoxime,Ceftizoxime,729|3610|3693|3696
1262,232,"CEFTAZIDIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFTAZIDIME,725,CefTAZidime,CefTAZidime,725|3610|3693|3696
1281,231,"CEFTAZIDIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g",CEFTAZIDIME,725,CefTAZidime,CefTAZidime,725|3610|3693|3696
1274,230,"CEFTAZIDIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFTAZIDIME,725,CefTAZidime,CefTAZidime,725|3610|3693|3696
1408,1336,"CEFOTAXIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFOTAXIME,717,Cefotaxime,Cefotaxime,717|3610|3693|3696
1391,229,"CEFOTAXIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFOTAXIME,717,Cefotaxime,Cefotaxime,717|3610|3693|3696
394,51889,"CEFIXIME POWDER, FOR SUSPENSION ORAL 100 mg/5 mL 50 mL",CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
1958,7495,CEFIXIME CAPSULE ORAL 200 mg,CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
384,2419,"CEFIXIME POWDER, FOR SUSPENSION ORAL 100 mg/5 mL 100 mL",CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
424,226,CEFIXIME TABLET ORAL 200 mg,CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
349,52222,CEFIXIME TABLET ORAL 400 mg,CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
2380,227,CEFIXIME CAPSULE ORAL 400 mg,CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
542,51971,"CEFIXIME POWDER, FOR SUSPENSION ORAL 200 mg/5 mL 50 mL",CEFIXIME,714,Cefixime,Cefixime,3610|3693|3696
1368,2417,"CEFEPIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g",CEFEPIME,712,Cefepime,Cefepime,3610|3693|3697
1347,2418,"CEFEPIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFEPIME,712,Cefepime,Cefepime,3610|3693|3697
1168,2416,"CEFEPIME INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFEPIME,712,Cefepime,Cefepime,3610|3693|3697
1228,224,"CEFAZOLIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",CEFAZOLIN,708,CeFAZolin,CeFAZolin,708|3610|3693|3694
547,222,"CEFAZOLIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CEFAZOLIN,708,CeFAZolin,CeFAZolin,708|3610|3693|3694
1512,6757,"CASPOFUNGIN ACETATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg",CASPOFUNGIN ACETATE,700,Caspofungin,Caspofungin,700|3624
1554,6758,"CASPOFUNGIN ACETATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 70 mg",CASPOFUNGIN ACETATE,700,Caspofungin,Caspofungin,700|3624
1053,1925,CARVEDILOL TABLET ORAL 25 mg,CARVEDILOL,697,Carvedilol,Carvedilol,697|3631|3661|3663|3664|3672|3674|3724|3727|3728|3779|3780|3781|3782|3789|3790|3799|3802|3803|3819|3820|3972|3976|3977
122,2475,CARVEDILOL TABLET ORAL 6.25 mg,CARVEDILOL,697,Carvedilol,Carvedilol,697|3631|3661|3663|3664|3672|3674|3724|3727|3728|3779|3780|3781|3782|3789|3790|3799|3802|3803|3819|3820|3972|3976|3977
154,1924,CARVEDILOL TABLET ORAL 12.5 mg,CARVEDILOL,697,Carvedilol,Carvedilol,697|3631|3661|3663|3664|3672|3674|3724|3727|3728|3779|3780|3781|3782|3789|3790|3799|3802|3803|3819|3820|3972|3976|3977
1231,13171,"CARGLUMIC ACID TABLET, ORALLY DISINTEGRATING ORAL 200 mg",CARGLUMIC ACID,690,Carglumic Acid,Carglumic Acid,
2001,51907,"ARTIFICIAL TEARS (HYALURONATE SODIUM) SOLUTION, DROPS OPHTHALMIC 0.4 % 10 mL",ARTIFICIAL TEARS (HYALURONATE SODIUM),686,Carboxymethylcellulose,GoodSense Artificial Tears [OTC] | Artificial Tears [OTC],
1833,52909,"ARTIFICIAL TEARS (HYALURONATE SODIUM) SOLUTION, DROPS OPHTHALMIC 0.15 % 0.5 mL",ARTIFICIAL TEARS (HYALURONATE SODIUM),686,Carboxymethylcellulose,GoodSense Artificial Tears [OTC] | Artificial Tears [OTC],
1309,51703,"ARTIFICIAL TEARS (HYALURONATE SODIUM) SOLUTION, DROPS OPHTHALMIC 0.2 %",ARTIFICIAL TEARS (HYALURONATE SODIUM),686,Carboxymethylcellulose,GoodSense Artificial Tears [OTC] | Artificial Tears [OTC],
1073,50883,ARTIFICIAL TEARS (CARBOMER) GEL OPHTHALMIC 0.2 % 10 g,ARTIFICIAL TEARS (CARBOMER),686,Carboxymethylcellulose,GoodSense Artificial Tears [OTC] | Artificial Tears [OTC],
1208,18333,CARBOPROST INJECTION INTRAMUSCULAR 250 ug/1mL 1 mL,CARBOPROST,685,Carboprost Tromethamine,Carboprost Tromethamine,685|3968
86,214,"CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 15 mL",CARBOPLATIN,684,CARBOplatin,CARBOplatin,684|3633|3871|3875|3929|3981
239,13830,"CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 45 mL",CARBOPLATIN,684,CARBOplatin,CARBOplatin,684|3633|3871|3875|3929|3981
215,215,"CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 5 mL",CARBOPLATIN,684,CARBOplatin,CARBOplatin,684|3633|3871|3875|3929|3981
897,52301,LEVODOPA / CARBIDOPA TABLET ORAL 100 mg/25 mg,CARBIDOPA,674,Carbidopa,Carbidopa,674
1010,748,LEVODOPA / CARBIDOPA FORTE TABLET ORAL 250 mg/25 mg,CARBIDOPA FORTE,674,Carbidopa,Carbidopa,674
613,747,LEVODOPA / CARBIDOPA TABLET ORAL 100 mg/10 mg,CARBIDOPA,674,Carbidopa,Carbidopa,674
1974,51962,LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 200 mg/50 mg/200 mg,CARBIDOPA,674,Carbidopa,Carbidopa,674
1963,19232,LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 100 mg/25 mg/200 mg,CARBIDOPA,674,Carbidopa,Carbidopa,674
1919,52479,"LEVODOPA / CARBIDOPA TABLET, EXTENDED RELEASE ORAL 200 mg/50 mg",CARBIDOPA,674,Carbidopa,Carbidopa,674
1921,2383,"LEVODOPA / CARBIDOPA TABLET, EXTENDED RELEASE ORAL 100 mg/25 mg",CARBIDOPA,674,Carbidopa,Carbidopa,674
1987,12482,LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 50 mg/12.5 mg/200 mg,CARBIDOPA,674,Carbidopa,Carbidopa,674
432,208,CARBAMAZEPINE TABLET ORAL 200 mg,CARBAMAZEPINE,662,CarBAMazepine,CarBAMazepine,662|3618|3621|3650|3704|3717|3719|3739|3740|3771|3772|3775|3808|3810|3816|3817|3818|3822|3871|3879|3880|3929|3946|3971|4057
964,1420,"CARBAMAZEPINE TABLET, EXTENDED RELEASE ORAL 400 mg",CARBAMAZEPINE,662,CarBAMazepine,CarBAMazepine,662|3618|3621|3650|3704|3717|3719|3739|3740|3771|3772|3775|3808|3810|3816|3817|3818|3822|3871|3879|3880|3929|3946|3971|4057
911,2114,"CARBAMAZEPINE TABLET, EXTENDED RELEASE ORAL 200 mg",CARBAMAZEPINE,662,CarBAMazepine,CarBAMazepine,662|3618|3621|3650|3704|3717|3719|3739|3740|3771|3772|3775|3808|3810|3816|3817|3818|3822|3871|3879|3880|3929|3946|3971|4057
1047,9437,CARBAMAZEPINE SUSPENSION ORAL 100 mg/5mL 250 mL,CARBAMAZEPINE,662,CarBAMazepine,CarBAMazepine,662|3618|3621|3650|3704|3717|3719|3739|3740|3771|3772|3775|3808|3810|3816|3817|3818|3822|3871|3879|3880|3929|3946|3971|4057
1373,206,CAPTOPRIL TABLET ORAL 50 mg,CAPTOPRIL,659,Captopril,Captopril,659|3601|3631|3672
898,205,CAPTOPRIL TABLET ORAL 25 mg,CAPTOPRIL,659,Captopril,Captopril,659|3601|3631|3672
47,2493,CAPECITABINE TABLET ORAL 500 mg,CAPECITABINE,653,Capecitabine,Capecitabine,653|3577|3633|3777|3825|3849|3875|3929|3996
1573,200,CALCIUM GLUCONATE INJECTION PARENTERAL 10 % 10 mL,CALCIUM GLUCONATE,631,Calcium Gluconate,Calcium Gluconate,3684|3685|3983
813,2414,CALCIUM DOBESILATE CAPSULE ORAL 500 mg,CALCIUM DOBESILATE,627,Calcium Dobesilate,Calcium Dobesilate,
342,18233,"FAMOTIDINE / CALCIUM CARBONATE / MAGNESIUM HYDROXIDE TABLET, CHEWABLE ORAL 10 mg/800 mg/165 mg",CALCIUM CARBONATE,619,Calcium Carbonate,Calcium Carbonate,619|3603|3684|3983|4033
1701,736,CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 3 mL,CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
1662,16766,"CALCIUM FOLINATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg",CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
1542,9572,CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 20 mL,CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
2327,11889,CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 5 mL,CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
1634,11886,CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 10 mL,CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
1715,738,CALCIUM FOLINATE TABLET ORAL 15 mg,CALCIUM FOLINATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
1381,201,CALCIUM PANTOTHENATE TABLET ORAL 100 mg,CALCIUM PANTOTHENATE,617,Calcium Acetate,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",617|3684|3685|3983
655,14710,CALCITRIOL INJECTION PARENTERAL 1 ug/1mL,CALCITRIOL,615,Calcitriol (Systemic),Calcitriol (Systemic) | Calcitriol (Topical),615|3819|3820|4033|4088
234,195,CALCITRIOL CAPSULE ORAL 0.25 ug,CALCITRIOL,615,Calcitriol (Systemic),Calcitriol (Systemic) | Calcitriol (Topical),615|3819|3820|4033|4088
1443,194,CALCITONIN INJECTION PARENTERAL 50 [iU]/1mL,CALCITONIN,614,Calcitonin,Calcitonin,614|3837
1747,17677,CALCIPOTRIOL / BETAMETHASONE DIPROPIONATE OINTMENT TOPICAL 0.005 %/0.064 % 30 g,CALCIPOTRIOL,612,Calcipotriene,Calcipotriol (INT) | Calcipotriol and Betamethasone (INT),612|4033|4088|4090
1878,192,CALCIPOTRIOL OINTMENT TOPICAL 50 ug/1g 30 g,CALCIPOTRIOL,612,Calcipotriene,Calcipotriol (INT) | Calcipotriol and Betamethasone (INT),612|4033|4088|4090
1221,52277,CALCIPOTRIOL / BETAMETHASONE DIPROPIONATE GEL TOPICAL 0.005 %/0.064 % 30 g,CALCIPOTRIOL,612,Calcipotriene,Calcipotriol (INT) | Calcipotriol and Betamethasone (INT),612|4033|4088|4090
301,190,CALAMINE CREAM TOPICAL 8 % 30 g,CALAMINE,608,Calamine,Calamine,
1013,2592,CALAMINE LOTION TOPICAL 8 % 60 mL,CALAMINE,608,Calamine,Calamine,
2135,52686,MENTHOL / ZINC OXIDE / CALAMINE OINTMENT TOPICAL 0.44 g/20.625 g/10 g/100 g 60 g,CALAMINE,608,Calamine,Calamine,
1829,19586,MENTHOL / ZINC OXIDE / CALAMINE OINTMENT TOPICAL 0.44 g/20.625 g/10 g/100 g 70 g,CALAMINE,608,Calamine,Calamine,
2312,52685,MENTHOL / ZINC OXIDE / CALAMINE OINTMENT TOPICAL 0.44 g/20.625 g/10 g/100 g 30 g,CALAMINE,608,Calamine,Calamine,
213,1,ACETAMINOPHEN / CAFFEINE / Aspirin TABLET ORAL 162.5 mg/32.5 mg/325 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
230,12650,ACETAMINOPHEN / CAFFEINE TABLET ORAL 500 mg/65 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
689,52636,ACETAMINOPHEN / CAFFEINE / CHLORPHENIRAMINE / VITAMIN C CAPSULE ORAL 200 mg/25 mg/2.5 mg/150 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
26,8979,ACETAMINOPHEN / CAFFEINE / IBUPROFEN CAPSULE ORAL 325 mg/40 mg/200 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
842,493,ERGOTAMINE TARTRATE / CAFFEINE TABLET ORAL 1 mg/100 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
2043,14000,"CAFFEINE INJECTION, SOLUTION PARENTERAL 10 mg/1mL 3 mL",CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
1548,21742,"ACETAMINOPHEN / CAFFEINE / IBUPROFEN CAPSULE, LIQUID FILLED ORAL 325 mg/40 mg/200 mg",CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
232,52159,ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE TABLET ORAL 300 mg/15 mg/15 mg,CAFFEINE,605,Caffeine,Caffeine,3581|3679|3703|3723|3724|3725|3726|3727|3781|3782|3789|3791|3799|3802|3803|3819|3820|4042
1141,2287,CABERGOLINE TABLET ORAL 0.5 mg,CABERGOLINE,601,Cabergoline,Cabergoline,601|3840
1769,2374,CABERGOLINE TABLET ORAL 1 mg,CABERGOLINE,601,Cabergoline,Cabergoline,601|3840
782,6700,BUSULFAN INJECTION PARENTERAL 6 mg/1mL 10 mL,BUSULFAN,585,Busulfan,Busulfan,585|3633|3868|3875|3929
952,11020,BUSPIRONE HYDROCHLORIDE TABLET ORAL 10 mg,BUSPIRONE HYDROCHLORIDE,584,BusPIRone,BusPIRone,584|3607|3789|3791|3816|3817|3818|4026|4027
1016,1888,BUSPIRONE HYDROCHLORIDE TABLET ORAL 5 mg,BUSPIRONE HYDROCHLORIDE,584,BusPIRone,BusPIRone,584|3607|3789|3791|3816|3817|3818|4026|4027
1608,185,BUSERELIN ACETATE INJECTION PARENTERAL 1 mg/1mL 5.5 mL,BUSERELIN ACETATE,583,Buserelin,Buserelin,3597|3867|3913|3996
797,2033,"BUPROPION HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 150 mg",BUPROPION HYDROCHLORIDE,580,BuPROPion,BuPROPion,580|3581|3724|3727|3728|3734|3737|3738|3743|3744|3745|3748|3781|3782|3785|3787|3789|3791|3799|3802|3803|3819|3820|3957
2193,1909,BUPROPION HYDROCHLORIDE TABLET ORAL 100 mg,BUPROPION HYDROCHLORIDE,580,BuPROPion,BuPROPion,580|3581|3724|3727|3728|3734|3737|3738|3743|3744|3745|3748|3781|3782|3785|3787|3789|3791|3799|3802|3803|3819|3820|3957
